"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","TEAM.A","TEAM.B"
"44","25","24","24","28","101","22","39","56.4%","10","25","40%","27","30","90%","14","19","33","15","10","4","1","18","4","19","28","14","9","10-0(46-37)","22","17","21","30","90","26","39","66.7%","9","24","37.5%","11","12","91.7%","9","19","28","14","11","8","4","25","12","3","46","10","9","9-0(28-31)",44,"3.11","êÏçË","ãûìs"
"45","21","14","16","14","65","23","52","44.2%","3","19","15.8%","10","12","83.3%","12","21","33","16","9","6","3","14","2","6","30","6","4","7-0(31-48)","30","23","21","18","92","29","43","67.4%","8","20","40%","10","16","62.5%","7","35","42","21","9","7","1","17","4","27","36","8","9","11-0(24-48)",45,"3.17","êÏçË","éOâÕ"
"46","16","18","24","20","78","19","35","54.3%","7","26","26.9%","19","22","86.4%","12","19","31","18","7","4","1","20","4","0","32","4","5","11-0(65-71)","20","25","26","16","87","28","46","60.9%","8","18","44.4%","7","12","58.3%","12","22","34","26","9","4","5","22","2","19","42","4","15","8-0(28-38)",46,"3.18","êÏçË","éOâÕ"
"47","18","16","15","35","84","29","47","61.7%","6","16","37.5%","8","14","57.1%","4","32","36","21","8","6","5","20","8","19","40","12","6","10-0(2-10)","12","18","18","17","65","17","40","42.5%","6","24","25%","13","17","76.5%","10","26","36","9","13","4","3","17","5","5","28","2","9","8-0(18-18)",47,"3.25","êÏçË","êVäÉ"
"48","28","10","30","22","90","23","39","59%","11","20","55%","11","16","68.8%","7","30","37","16","12","4","2","14","8","21","38","2","6","10-0(7-21)","14","21","13","23","71","20","47","42.6%","7","22","31.8%","10","11","90.9%","13","20","33","11","9","8","1","18","2","0","28","8","9","9-0(33-34)",48,"3.26","êÏçË","êVäÉ"
"49","24","14","27","20","85","28","51","54.9%","7","22","31.8%","8","9","88.9%","14","30","44","29","8","8","5","11","8","21","46","13","12","12-0(58-79)","22","21","11","14","68","22","44","50%","6","22","27.3%","6","8","75%","9","24","33","17","10","6","2","13","2","8","34","2","9","10-0(13-9)",49,"4.01","êÏçË","â°ïl"
"50","14","16","28","19","77","25","48","52.1%","6","21","28.6%","9","11","81.8%","10","36","46","20","9","5","0","14","6","27","36","6","10","11-0(25-39)","15","10","13","19","57","17","45","37.8%","5","22","22.7%","8","12","66.7%","11","30","41","19","10","2","0","14","6","5","22","6","2","5-0(5-0)",50,"4.02","êÏçË","â°ïl"
"51","17","27","23","22","89","25","51","49%","8","18","44.4%","15","24","62.5%","11","25","36","21","3","10","2","21","11","17","40","18","11","16-0(47-39)","22","17","16","21","76","20","41","48.8%","8","21","38.1%","12","19","63.2%","14","26","40","13","17","1","3","24","3","10","30","0","8","9-0(67-59)",51,"4.07","êÏçË","éOâì"
"52","15","20","18","19","72","20","51","39.2%","6","16","37.5%","14","17","82.4%","10","32","42","12","6","0","5","13","2","13","22","0","4","6-0(8-5)","15","12","19","17","63","19","45","42.2%","6","21","28.6%","7","10","70%","9","34","43","11","12","2","6","18","8","3","32","2","11","8-0(40-37)",52,"4.08","êÏçË","éOâì"
"53","23","14","23","20","80","22","42","52.4%","7","19","36.8%","15","16","93.8%","10","23","33","18","13","2","0","20","6","10","34","9","9","7-0(16-8)","18","17","20","28","83","29","62","46.8%","4","9","44.4%","13","18","72.2%","16","23","39","24","9","6","2","17","10","6","46","15","10","8-0(37-37)",53,"4.14","êÏçË","ïxéR"
"54","18","22","27","11","78","19","39","48.7%","7","19","36.8%","19","23","82.6%","12","30","42","22","16","8","4","13","10","28","30","4","4","13-0(46-21)","14","7","18","24","63","21","47","44.7%","4","10","40%","9","12","75%","4","20","24","20","15","7","4","18","8","4","34","12","9","9-0(72-58)",54,"4.15","êÏçË","ïxéR"
"55","28","18","21","20","87","30","44","68.2%","5","14","35.7%","12","13","92.3%","7","31","38","18","17","5","3","8","6","24","42","6","10","10-0(7-21)","8","21","21","30","80","23","50","46%","10","19","52.6%","4","9","44.4%","7","16","23","17","7","9","2","14","8","1","34","12","11","7-0(55-67)",55,"4.22","êÏçË","SRèaíJ"
"56","18","26","12","15","71","20","44","45.5%","7","25","28%","10","13","76.9%","11","29","40","17","9","4","2","22","4","0","30","7","7","7-0(17-12)","23","24","15","22","84","21","46","45.7%","8","19","42.1%","18","24","75%","8","33","41","14","8","8","4","14","6","14","38","10","8","8-0(8-0)",56,"4.23","êÏçË","SRèaíJ"
"57","24","27","24","17","92","28","49","57.1%","9","26","34.6%","9","11","81.8%","14","29","43","21","7","8","3","14","6","34","44","9","19","10-0(26-17)","17","18","11","17","63","22","46","47.8%","3","20","15%","10","16","62.5%","13","24","37","11","11","6","5","15","4","4","30","6","8","7-0(14-15)",57,"4.28","êÏçË","â°ïl"
"58","28","20","25","23","96","29","46","63%","8","17","47.1%","14","16","87.5%","7","31","38","24","13","8","1","11","6","25","44","6","8","7-0(33-20)","20","15","20","20","75","31","54","57.4%","2","18","11.1%","7","10","70%","10","17","27","15","10","7","0","19","8","0","46","10","2","6-0(84-65)",58,"4.29","êÏçË","â°ïl"
"59","20","29","24","18","91","27","45","60%","11","25","44%","4","9","44.4%","10","30","40","22","11","6","0","11","12","28","52","15","15","7-0(22-39)","18","18","11","23","70","20","47","42.6%","8","19","42.1%","6","9","66.7%","9","24","33","12","12","3","1","14","0","8","32","10","4","8-0(10-2)",59,"5.03","êÏçË","ïxéR"
"60","25","16","10","25","93","22","43","51.2%","11","26","42.3%","16","18","88.9%","11","28","39","20","16","10","1","15","2","9","32","10","8","8-0(80-76)","21","22","20","13","86","30","55","54.5%","7","21","33.3%","5","18","27.8%","16","26","42","16","12","10","3","20","10","17","42","16","17","18-0(41-56)",60,"5.05","êÏçË","SRèaíJ"
"61","22","18","18","18","76","20","40","50%","10","26","38.5%","6","13","46.2%","11","29","40","15","9","1","1","24","0","3","30","0","9","7-0(29-28)","25","17","18","18","78","15","42","35.7%","8","21","38.1%","24","31","77.4%","13","29","42","9","7","5","1","14","0","6","22","2","2","6-0(22-28)",61,"5.06","êÏçË","SRèaíJ"
