TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
富山,22,上江田 勇樹,SG/SF,54,20,1066:13:00,19:44,368,6.8,132,326,40.50%,71,187,38.00%,33,54,61.10%,18,74,92,1.7,47,0.9,38,37,12,18,138,57,6
三河,0,橋本 竜馬,PG,52,40,1313:53:00,25:16:00,366,7,115,275,41.80%,64,164,39.00%,72,85,84.70%,16,114,130,2.5,174,3.3,38,70,1,12,141,85,10
北海道,1,関野 剛平,SG/SF,60,42,1117:26:00,18:37,365,6.1,125,326,38.30%,56,171,32.70%,59,85,69.40%,26,44,70,1.2,63,1.1,64,45,5,11,99,108,4
千葉,27,石井 講祐,SG,60,13,1141:17:00,19:01,361,6,130,309,42.10%,78,204,38.20%,23,30,76.70%,34,91,125,2.1,83,1.4,41,57,3,10,113,61,7
北海道,23,野口 大介,PF,53,39,998:10:00,18:50,360,6.8,139,333,41.70%,40,112,35.70%,42,56,75.00%,37,84,121,2.3,62,1.2,45,28,20,10,82,49,6
三遠,15,鈴木 達也,PG,50,46,1293:37:00,25:52:00,359,7.2,129,345,37.40%,43,138,31.20%,58,77,75.30%,16,83,99,2,216,4.3,83,43,0,15,78,86,8
北海道,11,桜井 良太,SF,60,56,1198:34:00,19:58,356,5.9,118,268,44.00%,20,70,28.60%,100,114,87.70%,32,119,151,2.5,164,2.7,105,59,7,8,156,154,8
SR渋谷,22,長谷川 智也,SG,49,34,1038:56:00,21:12,356,7.3,138,345,40.00%,49,147,33.30%,31,48,64.60%,19,71,90,1.8,96,2,60,23,1,13,85,74,6
SR渋谷,0,満原 優樹,PF/C,57,42,1145:23:00,20:05,354,6.2,140,388,36.10%,23,110,20.90%,51,74,68.90%,91,172,263,4.6,101,1.8,54,22,4,26,80,89,7
大阪,1,今野 翔太,SG,58,44,1335:44:00,23:01,344,5.9,132,336,39.30%,28,100,28.00%,52,67,77.60%,44,73,117,2,72,1.2,37,42,3,16,93,94,6
新潟,31,城宝 匡史,SG,52,33,1155:23:00,22:13,342,6.6,123,332,37.00%,63,183,34.40%,33,44,75.00%,23,115,138,2.7,96,1.8,59,28,2,12,100,62,6
富山,13,クリント・チャップマン,PF,22,2,453:50:00,20:37,342,15.5,120,283,42.40%,25,76,32.90%,77,99,77.80%,30,127,157,7.1,22,1,39,9,20,14,80,84,15
A東京,6,馬場 雄大,SF,40,7,831:08:00,20:46,339,8.5,129,248,52.00%,26,75,34.70%,55,80,68.80%,19,90,109,2.7,82,2.1,49,46,13,6,48,77,10
新潟,3,畠山 俊樹,PG,49,22,1268:18:00,25:53:00,337,6.9,129,298,43.30%,30,91,33.00%,49,58,84.50%,32,78,110,2.2,154,3.1,66,53,4,23,114,83,8
島根,12,アル・ソーントン,SF/PF,22,8,453:10:00,20:35,337,15.3,125,274,45.60%,36,99,36.40%,51,64,79.70%,31,77,108,4.9,36,1.6,25,12,9,10,57,84,14
