"","#","S","PLAYER","PO","MIN","PTS","FGM","FGA","FG%","3FGM","3FGA","3FG%","FTM","FTA","FT%","OR","DR","TR","AS","TO","ST","BS","BSR","F","FD","DUNK","EFF","SHEDULEKEY","TEAM"
"939",91,"","佐藤 浩貴佐藤","C","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3530","西宮"
"940",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",1,1,2,0,1,0,0,0,0,0,0,1,"3530","西宮"
"941",NA,"","合計","","200:00",70,29,70,"41.4%",9,28,"32.1%",3,5,"60.0%",5,23,28,22,6,7,2,3,22,12,1,80,"3530","西宮"
"942",2,"〇","福澤 晃平福澤","PG/SG","25:49",21,7,10,"70.0%",2,5,"40.0%",5,6,"83.3%",0,0,0,3,1,1,0,0,1,4,0,20,"3531","茨城"
"943",5,"","友利 健哉友利","PG","13:07",2,1,3,"33.3%",0,2,"0.0%",0,0,"-",0,3,3,2,1,2,0,0,0,3,0,6,"3531","茨城"
"944",11,"","須田 昂太郎須田","SG/SF","01:46",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3531","茨城"
"945",12,"","ジャーラ 志多斗ジャーラ","C","12:01",3,1,3,"33.3%",0,0,"-",1,2,"50.0%",1,4,5,0,0,0,0,0,2,1,0,5,"3531","茨城"
"946",14,"","髙橋 祐二髙橋","PG","19:53",6,2,3,"66.7%",2,3,"66.7%",0,0,"-",0,1,1,6,4,1,1,0,0,0,0,10,"3531","茨城"
"947",16,"","久保田 遼久保田","PF","11:27",4,1,2,"50.0%",1,1,"100.0%",1,2,"50.0%",1,1,2,1,1,0,0,1,2,1,0,4,"3531","茨城"
"948",21,"〇","コナー・ラマートラマート","PF","26:03",7,3,10,"30.0%",0,2,"0.0%",1,2,"50.0%",3,7,10,0,0,1,0,0,1,2,0,10,"3531","茨城"
"949",25,"〇","平尾 充庸平尾","PG","26:54",11,3,9,"33.3%",1,3,"33.3%",4,4,"100.0%",3,2,5,7,1,2,0,0,3,4,0,18,"3531","茨城"
"950",27,"〇","眞庭 城聖眞庭","SF","28:24",6,3,7,"42.9%",0,2,"0.0%",0,0,"-",1,1,2,5,1,1,0,0,2,0,0,9,"3531","茨城"
"951",33,"〇","カール・バプティストバプティスト","PF","29:50",25,11,16,"68.8%",0,1,"0.0%",3,4,"75.0%",2,8,10,2,2,1,3,0,4,5,1,33,"3531","茨城"
"952",55,"","横尾 達泰横尾","SG/SF","04:46",0,0,1,"0.0%",0,0,"-",0,0,"-",1,0,1,0,0,0,0,0,0,0,0,0,"3531","茨城"
"953",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",1,1,2,0,1,0,0,0,0,0,0,1,"3531","茨城"
"954",NA,"","合計","","200:00",85,32,64,"50.0%",6,19,"31.6%",15,20,"75.0%",13,28,41,26,12,9,4,1,15,20,1,116,"3531","茨城"
"955",0,"","上原 壮大郎上原","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3531","西宮"
"956",2,"〇","ドゥレイロン・バーンズバーンズ","SG/SF","37:21",16,7,16,"43.8%",1,4,"25.0%",1,2,"50.0%",2,4,6,4,2,2,0,0,4,2,0,16,"3531","西宮"
"957",3,"","松崎 賢人松崎","PG","16:57",0,0,1,"0.0%",0,0,"-",0,0,"-",0,0,0,0,1,0,0,0,4,0,0,-2,"3531","西宮"
"958",6,"","大塚 勇人大塚","PG","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3531","西宮"
"959",9,"〇","谷 直樹谷","SF","29:36",16,7,16,"43.8%",1,4,"25.0%",1,1,"100.0%",2,4,6,2,2,0,0,2,3,2,0,13,"3531","西宮"
"960",13,"〇","道原 紀晃道原","PG/SG","23:33",8,4,9,"44.4%",0,1,"0.0%",0,0,"-",4,3,7,4,2,1,0,0,2,2,0,13,"3531","西宮"
"961",15,"〇","谷口 淳谷口","PF","20:52",0,0,2,"0.0%",0,2,"0.0%",0,0,"-",0,1,1,1,0,0,0,0,0,2,0,0,"3531","西宮"
"962",19,"","梁川 禎浩梁川","SG","05:45",0,0,1,"0.0%",0,0,"-",0,0,"-",0,0,0,1,0,0,0,0,1,0,0,0,"3531","西宮"
"963",33,"","ランディー・ホワイトホワイト","C","31:50",18,7,12,"58.3%",0,1,"0.0%",4,9,"44.4%",1,6,7,1,4,2,1,1,4,7,0,15,"3531","西宮"
"964",35,"","内藤 健太内藤","SG","23:59",2,1,5,"20.0%",0,1,"0.0%",0,0,"-",1,2,3,1,2,0,0,1,1,0,0,0,"3531","西宮"
"965",47,"〇","土屋 アリスター時生土屋","C","10:07",2,1,2,"50.0%",0,0,"-",0,0,"-",0,1,1,0,0,2,0,0,1,0,0,4,"3531","西宮"
"966",91,"","佐藤 浩貴佐藤","C","00:00",0,0,0,"-",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,0,"3531","西宮"
"967",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",2,1,3,0,2,0,0,0,0,0,0,1,"3531","西宮"
"968",NA,"","合計","","200:00",62,27,64,"42.2%",2,13,"15.4%",6,12,"50.0%",12,22,34,14,15,7,1,4,20,15,0,60,"3531","西宮"
"969",2,"","福澤 晃平福澤","PG/SG","19:21",5,1,5,"20.0%",1,5,"20.0%",2,2,"100.0%",0,0,0,3,1,1,0,0,2,2,0,4,"3548","茨城"
"970",5,"","友利 健哉友利","PG","10:19",2,0,2,"0.0%",0,2,"0.0%",2,2,"100.0%",0,1,1,3,1,2,0,0,0,1,0,5,"3548","茨城"
"971",11,"","須田 昂太郎須田","SG/SF","01:31",9,3,3,"100.0%",3,3,"100.0%",0,0,"-",0,1,1,0,0,0,0,0,0,0,0,10,"3548","茨城"
"972",12,"","ジャーラ 志多斗ジャーラ","C","10:15",0,0,0,"-",0,0,"-",0,0,"-",0,2,2,0,0,0,0,0,3,0,0,2,"3548","茨城"
"973",14,"〇","髙橋 祐二髙橋","PG","30:01",3,1,5,"20.0%",1,2,"50.0%",0,0,"-",0,4,4,6,2,0,0,0,0,1,0,7,"3548","茨城"
"974",16,"","久保田 遼久保田","PF","09:01",7,2,4,"50.0%",0,1,"0.0%",3,3,"100.0%",1,4,5,0,0,0,0,0,1,2,0,10,"3548","茨城"
"975",21,"〇","コナー・ラマートラマート","PF","32:48",19,8,12,"66.7%",2,2,"100.0%",1,2,"50.0%",4,8,12,2,2,2,2,0,1,3,0,30,"3548","茨城"
"976",25,"〇","平尾 充庸平尾","PG","20:38",15,5,10,"50.0%",2,4,"50.0%",3,4,"75.0%",1,0,1,3,0,1,0,0,3,3,0,14,"3548","茨城"
"977",27,"〇","眞庭 城聖眞庭","SF","28:24",13,4,9,"44.4%",1,4,"25.0%",4,5,"80.0%",0,5,5,3,3,0,1,0,1,4,0,13,"3548","茨城"
"978",33,"〇","カール・バプティストバプティスト","PF","26:20",14,4,10,"40.0%",0,3,"0.0%",6,8,"75.0%",3,5,8,3,1,1,1,1,1,5,1,18,"3548","茨城"
"979",55,"","横尾 達泰横尾","SG/SF","11:22",3,1,1,"100.0%",1,1,"100.0%",0,2,"0.0%",0,0,0,1,0,0,0,0,1,1,0,2,"3548","茨城"
"980",NA,"","TEAM / COACHES","","",0,0,0,"-",0,0,"-",0,0,"-",3,1,4,0,2,0,0,0,0,0,0,2,"3548","茨城"
"981",NA,"","合計","","200:00",90,29,61,"47.5%",11,27,"40.7%",21,28,"75.0%",12,31,43,24,12,7,4,1,13,22,1,117,"3548","茨城"
"982",1,"〇","デンゼル・ボウルズボウルズ","PF","29:41",15,6,12,"50.0%",0,0,"-",3,4,"75.0%",6,6,12,2,1,0,0,1,1,5,2,21,"3548","金沢"
"983",2,"","八幡 圭祐八幡","SF","01:12",0,0,1,"0.0%",0,0,"-",0,0,"-",0,0,0,0,0,0,0,0,0,0,0,-1,"3548","金沢"
"984",3,"〇","ライアン・リードリード","PF","28:31",12,6,12,"50.0%",0,1,"0.0%",0,0,"-",2,3,5,0,6,2,1,0,5,0,0,8,"3548","金沢"
